epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3032,1.13568,3.18067,1.52014,0.80092,0.20543,0.2037,0.13327,1.23204,1.85669,1.67137,0.000165591,0.000165591,0.000165591
2,57.3597,1.09479,2.20002,1.45169,0.81912,0.22246,0.25328,0.16784,1.1414,1.85321,1.57244,0.000319101,0.000319101,0.000319101
3,84.1701,1.09052,1.92306,1.43259,0.8431,0.283,0.29911,0.19407,1.15597,1.3439,1.55587,0.00045941,0.00045941,0.00045941
4,111.062,1.05313,1.71739,1.38958,0.83289,0.2794,0.28879,0.18771,1.13269,1.47895,1.54028,0.0004406,0.0004406,0.0004406
5,138.229,1.04287,1.58651,1.37856,0.87107,0.27853,0.31418,0.20555,1.1477,1.2338,1.53968,0.0004208,0.0004208,0.0004208
6,165.615,1.0428,1.53228,1.37644,0.80903,0.28588,0.32821,0.21872,1.1131,1.20929,1.5059,0.000401,0.000401,0.000401
7,192.706,1.00258,1.40701,1.34537,0.65678,0.30861,0.33292,0.2259,1.08375,1.11092,1.48742,0.0003812,0.0003812,0.0003812
8,219.777,0.9901,1.37764,1.3248,0.63981,0.30859,0.32675,0.22003,1.09482,1.13478,1.49957,0.0003614,0.0003614,0.0003614
9,247.059,0.99356,1.30466,1.32728,0.6674,0.31429,0.37457,0.26505,1.07183,1.06404,1.45947,0.0003416,0.0003416,0.0003416
10,274.203,0.96264,1.262,1.30225,0.68834,0.33301,0.37252,0.2547,1.02418,0.93911,1.41891,0.0003218,0.0003218,0.0003218
11,301.274,0.95,1.22675,1.29929,0.73672,0.32294,0.34807,0.23393,1.04879,1.03722,1.43647,0.000302,0.000302,0.000302
12,328.476,0.94896,1.20105,1.30274,0.69737,0.3094,0.36269,0.25292,1.0227,0.93359,1.4128,0.0002822,0.0002822,0.0002822
13,355.622,0.92851,1.1415,1.28653,0.70054,0.31552,0.37273,0.25627,1.03416,0.91193,1.42235,0.0002624,0.0002624,0.0002624
14,382.665,0.92291,1.11307,1.28461,0.69109,0.33925,0.3711,0.25421,1.03132,0.87217,1.41863,0.0002426,0.0002426,0.0002426
15,409.691,0.91047,1.06944,1.26365,0.69564,0.32929,0.37755,0.25904,1.01163,0.85614,1.39578,0.0002228,0.0002228,0.0002228
16,437.458,0.83139,0.97141,1.31203,0.65391,0.37292,0.37384,0.25834,0.9841,0.84829,1.37741,0.000203,0.000203,0.000203
17,464.219,0.78452,0.91054,1.27185,0.7009,0.35662,0.37259,0.26201,0.97751,0.82875,1.36795,0.0001832,0.0001832,0.0001832
18,490.92,0.76038,0.8602,1.26584,0.67406,0.36574,0.36581,0.25305,0.985,0.83464,1.3829,0.0001634,0.0001634,0.0001634
19,517.626,0.75739,0.82057,1.25071,0.67986,0.38615,0.38502,0.27,0.98833,0.80658,1.37169,0.0001436,0.0001436,0.0001436
20,544.282,0.73361,0.78041,1.22814,0.72095,0.36443,0.39182,0.27143,0.97946,0.78355,1.37374,0.0001238,0.0001238,0.0001238
21,570.924,0.73241,0.74494,1.23401,0.72327,0.35463,0.39002,0.27563,0.96541,0.78176,1.35933,0.000104,0.000104,0.000104
22,597.634,0.71692,0.71712,1.2178,0.69888,0.37423,0.39192,0.27406,0.97546,0.77597,1.36475,8.42e-05,8.42e-05,8.42e-05
23,624.298,0.70601,0.7238,1.20995,0.70815,0.37149,0.38317,0.268,0.96058,0.76584,1.35801,6.44e-05,6.44e-05,6.44e-05
24,651.007,0.68846,0.70065,1.20195,0.71116,0.37184,0.39575,0.27758,0.95412,0.7624,1.35549,4.46e-05,4.46e-05,4.46e-05
25,677.964,0.6898,0.70658,1.19102,0.69542,0.3692,0.38638,0.27144,0.95632,0.75204,1.35536,2.48e-05,2.48e-05,2.48e-05
